campus,fall_year,high_school,city,applicants,admits,enrollees,applicant_mean_gpa,admit_mean_gpa,enrollee_mean_gpa
Santa Barbara,2021,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.82,4.14,3.86
Santa Barbara,2022,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.97,4.22,
Santa Barbara,2023,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.90,4.13,3.77
Santa Barbara,2024,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.91,4.20,4.07
Santa Barbara,2025,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.91,4.21,
Santa Cruz,1994,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.12,3.51,
Santa Cruz,1995,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.27,3.45,
Santa Cruz,1996,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.21,3.29,3.11
Santa Cruz,1997,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.25,3.29,3.26
Santa Cruz,1998,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.13,3.26,
Santa Cruz,1999,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.08,3.28,
Santa Cruz,2000,SANTA MARGARITA CATHOLIC HS,Rancho San Marga,,,,3.35,3.42,3.24
Santa Cruz,2001,SANTA MARGARITA CATHOLIC HS,Rancho San Marga,,,,3.42,3.48,
Santa Cruz,2002,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.37,3.42,3.32
Santa Cruz,2003,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.28,3.37,
Santa Cruz,2004,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.35,3.45,
Santa Cruz,2005,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.37,3.53,
Santa Cruz,2006,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.43,3.53,
Santa Cruz,2007,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.34,3.45,
Santa Cruz,2008,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.37,3.53,
